id,checkin_on,employee,street,latitude,longitude,call_sign,quality
1,1/3/2024 12:47 PM,Horten Cuseck,"1600 Pennsylvania St, Denver, CO",39.7508,-104.997,Alpha 1,Broken but Readable
2,1/3/2024 09:20 PM,Jayne Adamovich,"1701 Wynkoop St, Denver, CO",39.7566,-104.999,Alpha 2,Broken but Readable
3,1/3/2024 11:39 PM,Nelson Fullard,"2001 Blake St, Denver, CO",39.7595,-104.999,Alpha 3,Broken but Readable
4,1/3/2024 11:39 PM,Lynsey Scudders,"100 W 14th Ave Pkwy, Denver, CO",39.7419,-105.002,Alpha 4,No Attempt
5,1/3/2024 04:01 PM,Ker Lashley,"700 14th St, Denver, CO",39.7461,-104.998,Alpha 5,Loud and Clear
6,1/3/2024 09:50 AM,Daron Ciobutaro,"16th St Mall, Denver, CO",39.7472,-104.997,Alpha 6,Loud and Clear
7,1/3/2024 10:19 AM,Ignazio Bohden,"1201 Larimer St, Denver, CO",39.7488,-105,Alpha 7,Broken and Unreadable
8,1/3/2024 06:53 PM,Willi Batstone,"1401 Curtis St, Denver, CO",39.7494,-104.997,Alpha 8,Loud and Clear
9,1/3/2024 04:43 PM,Dilly Suter,"1601 Arapahoe St, Denver, CO",39.75,-104.996,Bravo 1,No Attempt
10,1/3/2024 11:48 AM,Almeria Clothier,"Civic Center Park, Denver, CO",39.7396,-104.998,Bravo 2,Loud and Clear
11,1/3/2024 07:58 AM,Obidiah Lynd,"Union Station, Denver, CO",39.7559,-105,Bravo 3,Loud and Clear
12,1/3/2024 09:55 AM,Dee dee Lainton,"Denver Art Museum, Denver, CO",39.7326,-104.99,Bravo 4,Broken and Unreadable
13,1/3/2024 02:55 PM,Elsi Clare,"Denver Botanic Gardens, Denver, CO",39.7219,-104.966,Bravo 5,Failed
14,1/3/2024 08:38 AM,Niki Bentz,"Red Rocks Amphitheatre, Morrison, CO",39.6759,-105.205,Bravo 6,Loud and Clear
15,1/3/2024 10:16 PM,Grace Aronsohn,"Coors Field, Denver, CO",39.7559,-104.994,Bravo 7,Broken but Readable
16,1/3/2024 09:20 PM,Sherm Mallett,"Pepsi Center, Denver, CO",39.7485,-105.007,Bravo 8,Broken and Unreadable
17,1/3/2024 08:01 PM,Alecia Ommundsen,"Denver Zoo, Denver, CO",39.7385,-104.969,Bravo 9,Broken but Readable
18,1/3/2024 10:35 AM,Steve Iashvili,"Elitch Gardens Theme Park, Denver, CO",39.7708,-105.02,Bravo 10,Failed
19,1/3/2024 05:15 PM,Judd Kennelly,"Cherry Creek Shopping Center, Denver, CO",39.7114,-104.953,Charlie 1,Failed
20,1/3/2024 07:48 AM,Laetitia Kelway,"16th Street Mall, Denver, CO",39.7475,-104.996,Charlie 2,Failed
21,1/3/2024 12:05 PM,Denice Berzin,"Denver Museum of Nature & Science, Denver, CO",39.7328,-104.958,Charlie 3,Loud and Clear
22,1/3/2024 08:06 AM,Luther Seear,"Washington Park, Denver, CO",39.7014,-104.967,Charlie 4,Broken but Readable
23,1/3/2024 06:39 PM,Nikki Le Marchant,"Cheesman Park, Denver, CO",39.7281,-104.969,Delta 1,Broken but Readable
24,1/3/2024 10:02 AM,Brenden Rasor,"City Park, Denver, CO",39.7333,-104.963,Delta 2,Loud and Clear
25,1/3/2024 01:24 PM,Jodi McFadin,"Sloan's Lake Park, Denver, CO",39.7581,-105.046,Delta 3,No Attempt
26,1/3/2024 03:31 PM,Nikos Witherow,"Confluence Park, Denver, CO",39.7542,-105.012,Delta 4,Loud and Clear
27,1/3/2024 08:32 AM,Kienan Stanlack,"Denver Central Market, Denver, CO",39.7664,-105.009,Delta 5,Broken and Unreadable
28,1/3/2024 03:25 PM,Tabby Burth,"The Source Hotel + Market Hall, Denver, CO",39.7694,-105.009,Delta 6,Failed
29,1/3/2024 09:18 AM,Valentin Windus,"Denver Milk Market, Denver, CO",39.7497,-104.993,Delta 7,Loud and Clear
30,1/3/2024 08:43 AM,Kent Daniel,"Avanti Food & Beverage, Denver, CO",39.7603,-105.01,Delta 8,Broken and Unreadable
31,1/3/2024 10:59 AM,Beverley D'Almeida,"Zeppelin Station, Denver, CO",39.7697,-105.003,Echo 1,Broken but Readable
32,1/3/2024 12:50 PM,Wilma Wahncke,"The Brown Palace Hotel and Spa, Denver, CO",39.7469,-104.997,Echo 2,Broken but Readable
33,1/3/2024 11:06 PM,Janeczka Hefferan,"The Crawford Hotel, Denver, CO",39.7558,-105,Echo 3,Broken and Unreadable
34,1/3/2024 04:18 PM,Nance Copperwaite,"The Oxford Hotel, Denver, CO",39.7481,-104.996,Echo 4,Broken but Readable
35,1/3/2024 09:02 AM,Gregg Brugman,"Hotel Teatro, Denver, CO",39.7464,-104.996,Echo 5,Loud and Clear
36,1/3/2024 11:14 PM,Zacharie Kenrat,"The Ramble Hotel, Denver, CO",39.7669,-105.004,Echo 6,Broken and Unreadable
37,1/3/2024 07:53 AM,Jedidiah Lunbech,"The Maven Hotel at Dairy Block, Denver, CO",39.75,-104.993,Echo 7,Loud and Clear
38,1/3/2024 03:54 PM,Morissa Itshak,"Kimpton Hotel Born, Denver, CO",39.7569,-105.001,Kilo 1,Failed
39,1/3/2024 05:40 PM,Marius Pickerill,"Halcyon, a hotel in Cherry Creek, Denver, CO",39.7125,-104.953,Kilo 2,Broken and Unreadable
40,2/7/2024 02:40 PM,Horten Cuseck,"1600 Pennsylvania St, Denver, CO",39.7508,-104.997,Alpha 1,Broken and Unreadable
41,2/7/2024 10:30 PM,Jayne Adamovich,"1701 Wynkoop St, Denver, CO",39.7566,-104.999,Alpha 2,Failed
42,2/7/2024 09:43 PM,Nelson Fullard,"2001 Blake St, Denver, CO",39.7595,-104.999,Alpha 3,Loud and Clear
43,2/7/2024 12:30 PM,Lynsey Scudders,"100 W 14th Ave Pkwy, Denver, CO",39.7419,-105.002,Alpha 4,Loud and Clear
44,2/7/2024 05:06 PM,Ker Lashley,"700 14th St, Denver, CO",39.7461,-104.998,Alpha 5,Broken but Readable
45,2/7/2024 02:02 PM,Daron Ciobutaro,"16th St Mall, Denver, CO",39.7472,-104.997,Alpha 6,Loud and Clear
46,2/7/2024 10:44 AM,Ignazio Bohden,"1201 Larimer St, Denver, CO",39.7488,-105,Alpha 7,Broken and Unreadable
47,2/7/2024 06:07 PM,Willi Batstone,"1401 Curtis St, Denver, CO",39.7494,-104.997,Alpha 8,Broken and Unreadable
48,2/7/2024 03:15 PM,Dilly Suter,"1601 Arapahoe St, Denver, CO",39.75,-104.996,Bravo 1,Failed
49,2/7/2024 02:30 PM,Almeria Clothier,"Civic Center Park, Denver, CO",39.7396,-104.998,Bravo 2,Loud and Clear
